地区名称 机构名称 机构类型 地区名称
贵州省 毕节市 金沙县 金沙县紫金社区服务中心
贵州省 毕节市 金沙县 金沙县罗马社区服务中心
贵州省 毕节市 金沙县 金沙县茶园乡卫生院
贵州省 毕节市 金沙县 金沙县西洛乡卫生院
贵州省 毕节市 金沙县 金沙县长坝乡卫生院
贵州省 毕节市 金沙县 金沙县长安社区服务中心
贵州省 毕节市 金沙县 金沙县马路乡卫生院
贵州省 毕节市 金沙县 金沙县高坪乡卫生院
贵州省 毕节市 金沙县 金沙县鼓场街道卫生院
贵州省 毕节市 黔西县 黔西县中坪镇卫生院
贵州省 毕节市 黔西县 黔西县中建乡卫生院
贵州省 毕节市 黔西县 黔西县五里乡卫生院
贵州省 毕节市 黔西县 黔西县仁和乡卫生院
贵州省 毕节市 黔西县 黔西县协和乡卫生院
贵州省 毕节市 黔西县 黔西县大关镇卫生院
贵州省 毕节市 黔西县 黔西县太来乡卫生院
贵州省 毕节市 黔西县 黔西县定新乡卫生院
贵州省 毕节市 黔西县 黔西县文峰社区卫生服务中心
贵州省 毕节市 黔西县 黔西县新仁乡卫生院
贵州省 毕节市 黔西县 黔西县杜鹃社区卫生服务中心
贵州省 毕节市 黔西县 黔西县林泉镇卫生院
贵州省 毕节市 黔西县 黔西县水西社区卫生服务中心
贵州省 毕节市 黔西县 黔西县永兴乡卫生院
贵州省 毕节市 黔西县 黔西县洪水乡卫生院
贵州省 毕节市 黔西县 黔西县甘棠乡卫生院
贵州省 毕节市 黔西县 黔西县素朴镇卫生院
贵州省 毕节市 黔西县 黔西县红林乡卫生院
贵州省 毕节市 黔西县 黔西县绿化乡卫生院
贵州省 毕节市 黔西县 黔西县花溪乡卫生院
贵州省 毕节市 黔西县 黔西县莲城社区卫生服务中心
贵州省 毕节市 黔西县 黔西县观音洞镇卫生院
贵州省 毕节市 黔西县 黔西县谷里镇卫生院
贵州省 毕节市 黔西县 黔西县重新镇卫生院
贵州省 毕节市 黔西县 黔西县金兰镇卫生院
贵州省 毕节市 黔西县 黔西县金坡乡卫生院
贵州省 毕节市 黔西县 黔西县金碧镇卫生院
贵州省 毕节市 黔西县 黔西县钟山乡卫生院
贵州省 毕节市 黔西县 黔西县铁石乡卫生院
贵州省 毕节市 黔西县 黔西县锦星乡卫生院
贵州省 毕节市 黔西县 黔西县雨朵镇卫生院
贵州省 贵安新区贵安新区直管区 贵安新区党武卫生院 乡卫生院
贵州省 贵安新区贵安新区直管区 贵安新区湖潮卫生院 乡卫生院
贵州省 贵安新区贵安新区直管区 贵安新区马场镇卫生院 乡卫生院
贵州省 贵安新区贵安新区直管区 贵安新区高峰镇卫生院 乡卫生院
贵州省 贵阳市 乌当区 乌当区下坝乡卫生院
贵州省 贵阳市 乌当区 乌当区东风镇卫生院
贵州省 贵阳市 乌当区 乌当区偏坡乡卫生院
贵州省 贵阳市 乌当区 乌当区新场乡卫生院
贵州省 贵阳市 乌当区 乌当区新堡乡卫生院
贵州省 贵阳市 乌当区 乌当区水田镇卫生院
贵州省 贵阳市 乌当区 乌当区百宜乡卫生院
